epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,3795.28,1.5501,1.71145,1.34805,0.56826,0.39058,0.43263,0.27382,1.59528,1.60461,1.35803,0.000519625,0.000519625,0.000519625
21,3980.26,1.54226,1.69111,1.34224,0.5584,0.38878,0.43921,0.27804,1.56651,1.56169,1.34786,0.000503132,0.000503132,0.000503132
22,4163.43,1.53246,1.67269,1.33898,0.54911,0.3979,0.44006,0.28533,1.5594,1.55799,1.33759,0.000486639,0.000486639,0.000486639
23,4348.83,1.51711,1.64143,1.32859,0.60273,0.40228,0.44792,0.28421,1.56116,1.54294,1.34392,0.000470145,0.000470145,0.000470145
24,4531.76,1.51533,1.63288,1.32722,0.57196,0.42508,0.45445,0.29134,1.54259,1.51482,1.32795,0.000453652,0.000453652,0.000453652
25,4716.59,1.4946,1.62876,1.32473,0.56745,0.413,0.44747,0.28798,1.53652,1.50659,1.32219,0.000437158,0.000437158,0.000437158
26,4899.85,1.49642,1.60655,1.31516,0.56521,0.42451,0.45785,0.29772,1.53736,1.48973,1.31394,0.000420665,0.000420665,0.000420665
27,5080.94,1.48409,1.58595,1.31099,0.58781,0.41809,0.46737,0.30296,1.51321,1.47591,1.30272,0.000404172,0.000404172,0.000404172
28,5265.07,1.48231,1.56742,1.30835,0.64188,0.41553,0.46676,0.30213,1.52813,1.46803,1.31369,0.000387678,0.000387678,0.000387678
29,5452.38,1.46544,1.55213,1.2994,0.6288,0.41933,0.47365,0.30823,1.50926,1.45421,1.29836,0.000371185,0.000371185,0.000371185
30,5640.19,1.46547,1.54001,1.29987,0.62447,0.41803,0.47679,0.30949,1.50584,1.43621,1.29841,0.000354691,0.000354691,0.000354691
31,5831.75,1.46321,1.53697,1.29775,0.62443,0.44427,0.48775,0.3107,1.51018,1.44326,1.30065,0.000338198,0.000338198,0.000338198
32,6018.87,1.44303,1.51411,1.29011,0.6235,0.42918,0.48513,0.31817,1.50111,1.42176,1.2991,0.000321705,0.000321705,0.000321705
33,6201.96,1.43748,1.50176,1.28242,0.61707,0.43974,0.49368,0.31964,1.48899,1.41504,1.29148,0.000305211,0.000305211,0.000305211
34,6386.74,1.43245,1.49184,1.28305,0.6619,0.42416,0.48857,0.3164,1.49533,1.40778,1.29784,0.000288718,0.000288718,0.000288718
35,6570.43,1.42975,1.47981,1.27793,0.66064,0.44132,0.5001,0.32258,1.47345,1.38293,1.2836,0.000272224,0.000272224,0.000272224
36,6753.24,1.42185,1.46602,1.27649,0.67003,0.43982,0.49835,0.32602,1.48028,1.3845,1.2887,0.000255731,0.000255731,0.000255731
37,6938.91,1.42112,1.45866,1.27347,0.64965,0.44442,0.49753,0.32553,1.4754,1.37854,1.28179,0.000239238,0.000239238,0.000239238
38,7125.18,1.41492,1.45135,1.26922,0.65156,0.43981,0.50024,0.32609,1.46521,1.37147,1.28024,0.000222744,0.000222744,0.000222744
39,7309.17,1.41303,1.44275,1.27185,0.65737,0.43961,0.50439,0.33006,1.47319,1.36844,1.28286,0.000206251,0.000206251,0.000206251
40,7492.85,1.39991,1.42803,1.26188,0.66001,0.44073,0.50715,0.33113,1.46662,1.35963,1.28071,0.000189757,0.000189757,0.000189757
41,7769.97,1.40433,1.34366,1.25991,0.64942,0.43217,0.50726,0.32852,1.46142,1.36535,1.27137,0.000173264,0.000173264,0.000173264
42,7957.1,1.39337,1.3154,1.25179,0.66028,0.43973,0.50659,0.32925,1.45565,1.36637,1.27434,0.000156771,0.000156771,0.000156771
43,8140.87,1.38046,1.2979,1.24603,0.68063,0.43355,0.50988,0.33086,1.45821,1.36295,1.26812,0.000140277,0.000140277,0.000140277
44,8327.39,1.37837,1.28684,1.24784,0.67402,0.44477,0.51221,0.33162,1.45959,1.3629,1.27219,0.000123784,0.000123784,0.000123784
45,8515.42,1.36321,1.2678,1.23659,0.72023,0.42535,0.51054,0.33256,1.45961,1.35535,1.27651,0.00010729,0.00010729,0.00010729
46,8704.8,1.36201,1.26131,1.2342,0.67522,0.44468,0.51703,0.33456,1.45871,1.34841,1.27389,9.0797e-05,9.0797e-05,9.0797e-05
47,8895.83,1.35481,1.25134,1.23105,0.73637,0.42175,0.5126,0.33418,1.45386,1.35047,1.26923,7.43036e-05,7.43036e-05,7.43036e-05
48,9082.8,1.34768,1.244,1.22428,0.64657,0.45518,0.51721,0.33549,1.45592,1.34768,1.2717,5.78102e-05,5.78102e-05,5.78102e-05
49,9272.58,1.34513,1.24015,1.22514,0.66955,0.44564,0.51757,0.33595,1.45368,1.34367,1.27208,4.13168e-05,4.13168e-05,4.13168e-05
50,9459.95,1.34567,1.23276,1.22503,0.65865,0.44872,0.51755,0.33631,1.44813,1.34361,1.2683,2.48234e-05,2.48234e-05,2.48234e-05
