epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.982,3.14624,4.07637,2.52497,0.37095,0.05433,0.02601,0.00754,2.79594,3.46813,2.22041,0.000166476,0.000166476,0.000166476
2,420.091,2.37042,3.104,1.84793,0.32541,0.15315,0.11149,0.05024,2.3737,2.8427,1.88215,0.000326481,0.000326481,0.000326481
3,613.511,2.12716,2.7684,1.70223,0.36555,0.18757,0.14301,0.07177,2.1979,2.67007,1.73469,0.000479889,0.000479889,0.000479889
4,804.269,2.01721,2.55577,1.61434,0.48144,0.20531,0.20348,0.10796,2.07153,2.4363,1.65733,0.000626699,0.000626699,0.000626699
5,993.332,1.95307,2.4378,1.5835,0.50152,0.21981,0.21702,0.11864,2.00497,2.36951,1.62401,0.000766912,0.000766912,0.000766912
6,1180.3,1.88429,2.32125,1.5397,0.50211,0.26926,0.27356,0.1566,1.93385,2.20116,1.58175,0.000750533,0.000750533,0.000750533
7,1368.45,1.83291,2.22799,1.50831,0.5884,0.25426,0.29237,0.17088,1.89112,2.10371,1.54749,0.00073404,0.00073404,0.00073404
8,1555.87,1.7887,2.15132,1.48769,0.53279,0.2832,0.30843,0.18186,1.84204,2.00494,1.52277,0.000717546,0.000717546,0.000717546
9,1745.01,1.74979,2.08717,1.46346,0.56466,0.30343,0.32653,0.1947,1.7681,1.94297,1.49263,0.000701053,0.000701053,0.000701053
10,1932.56,1.71579,2.02498,1.44414,0.47298,0.33207,0.3469,0.21125,1.78447,1.86717,1.46815,0.000684559,0.000684559,0.000684559
11,2116.31,1.70414,1.97249,1.4333,0.43339,0.34443,0.3456,0.21199,1.72239,1.84787,1.43172,0.000668066,0.000668066,0.000668066
12,2303.16,1.67616,1.94045,1.42219,0.57858,0.31973,0.35797,0.21734,1.72824,1.82728,1.43715,0.000651573,0.000651573,0.000651573
13,2487.54,1.65684,1.90645,1.41289,0.51264,0.32437,0.37224,0.22985,1.69855,1.79327,1.42408,0.000635079,0.000635079,0.000635079
14,2673.71,1.63539,1.86771,1.39621,0.53691,0.35556,0.37733,0.23801,1.68297,1.76427,1.41908,0.000618586,0.000618586,0.000618586
15,2858.66,1.61294,1.83391,1.38689,0.49416,0.35059,0.38795,0.24928,1.63456,1.69478,1.3931,0.000602092,0.000602092,0.000602092
16,3043.91,1.59967,1.7919,1.37469,0.50972,0.36651,0.40483,0.25546,1.6643,1.65862,1.39816,0.000585599,0.000585599,0.000585599
17,3231.03,1.59666,1.79667,1.37513,0.53946,0.38647,0.41028,0.26057,1.63201,1.67679,1.39103,0.000569106,0.000569106,0.000569106
18,3419.37,1.56772,1.74934,1.36087,0.61743,0.36403,0.41341,0.26533,1.59303,1.62209,1.36409,0.000552612,0.000552612,0.000552612
19,3606.92,1.56639,1.72811,1.3528,0.60317,0.36481,0.41934,0.271,1.59851,1.61251,1.35911,0.000536119,0.000536119,0.000536119
